ID,BuildPurpose,PurposeItem,CityItem,AreaItem,BuildMaterial,MaterialItem,PublicArea,BuildType,BuildComDate,BuildLayer,AplraiseUnitValue,Item,AdjBuildArea,AplraiseValue,RecStat,DebtPerc
1,A,住家用,新北市,新莊區,4,鋼筋混凝土造,16.23,R2,1999/11/15 上午 12:00:00,8,280000,陽台,3.05,10782800,1,48
2,A,住家用,新北市,新莊區,8,加強磚造,,R1,1968/2/1 上午 12:00:00,4,220000,,,4914800,1,37
3,A,住家用,新北市,新莊區,4,鋼筋混凝土造,28.99,R2,1993/8/3 上午 12:00:00,2,290000,陽台,2.84,16726000,1,25
4,Z,見其它登記事項,新北市,新莊區,4,鋼筋混凝土造,31.11,R2,2012/1/18 上午 12:00:00,9,380000,其他,6.62,29172600,1,38
5,A,住家用,新北市,新莊區,4,鋼筋混凝土造,7.07,R2,1996/12/4 上午 12:00:00,3,280000,陽台,2.83,8652000,1,8
6,C,工業用,新北市,新莊區,4,鋼筋混凝土造,,R1,1973/5/10 上午 12:00:00,2,235000,,,5287500,1,58
7,A,住家用,新北市,新莊區,4,鋼筋混凝土造,,R1,1981/1/29 上午 12:00:00,3,235000,,,5388550,1,75
8,A,住家用,新北市,新莊區,4,鋼筋混凝土造,5.1,R2,2001/12/19 上午 12:00:00,8,300000,陽台,1.88,5103000,1,42
9,Z,見其它登記事項,新北市,新莊區,4,鋼筋混凝土造,20.13,R2,2012/12/13 上午 12:00:00,14,295000,其他,3.12,13116500,1,70
10,A,住家用,新北市,新莊區,4,鋼筋混凝土造,32.06,R2,2000/1/17 上午 12:00:00,12,365000,陽台,2.27,15683750,1,70
11,A,住家用,新北市,新莊區,4,鋼筋混凝土造,2.61,R1,1987/12/8 上午 12:00:00,5,260000,陽台,4.37,9094800,1,42
12,A,住家用,新北市,新莊區,4,鋼筋混凝土造,,R1,1978/11/24 上午 12:00:00,2,295000,,,7908950,1,75
13,A,住家用,新北市,新莊區,4,鋼筋混凝土造,6.66,R2,1995/7/13 上午 12:00:00,7,310000,陽台,2.3,5883800,1,56
14,Z,見其它登記事項,新北市,新莊區,4,鋼筋混凝土造,35.41,R2,2012/4/25 上午 12:00:00,15,365000,其他,7.39,25656950,1,12
15,A,住家用,新北市,新莊區,4,鋼筋混凝土造,6.72,R2,1994/8/19 上午 12:00:00,8,182800,陽台,27.72,11046604,1,59
16,A,住家用,新北市,新莊區,4,鋼筋混凝土造,41.11,R2,1999/5/26 上午 12:00:00,2,280000,陽台,2.79,38973400,1,45
17,A,住家用,新北市,新莊區,4,鋼筋混凝土造,,R1,1984/5/21 上午 12:00:00,3,240000,陽台,2.25,5848800,1,73
18,Z,見其它登記事項,新北市,新莊區,4,鋼筋混凝土造,25.54,R5,2009/11/18 上午 12:00:00,999,230000,其他,10.04,23064400,1,48
