Id,City,UseYear,RoadWide,RegisterReason,MaterialCode,BuildTotalLevel,BuildLevel,PurposeCode,buildRate,UsedState,JcicBuildMaterialCode,JcicBuildPurposeCode,OtherBuildPurpose,StallPrice,StallNum,StallAreaSize,TotalAreaSize,RegisterPurpose1,RegisterPurpose2,RegisterPurpose3,RegisterPurpose4,RegisterPurpose5,RegisterPurpose6,landSize,IdenPrice
1,5,22,10,02,04,16,14,35,6.000000,01,E,A,4,0.000,0,0.00,43.12,10.930000,1.320000,0.790000,0.090000,3.690000,0.000000,7.16,19404000.000
2,5,8,7,02,04,13,4,10,28.000000,09,C,A,4,1000000.000,1,4.55,41.33,8.100000,0.850000,3.550000,1.380000,0.000000,0.000000,12.15,11159100.000
3,0,16,12,02,04,4,1,30,0.000000,01,E,D,3,0.000,0,0.00,124.07,34.210000,3.320000,0.000000,0.000000,0.000000,0.000000,47.20,5210940.000
4,5,22,7,02,04,13,3,35,10.000000,09,C,A,4,0.000,0,0.00,32.48,7.830000,1.040000,0.950000,0.000000,0.000000,0.000000,3.89,10068800.000
5,5,40,6,02,04,4,1,35,0.000000,70,E,A,4,0.000,0,0.00,27.68,8.370000,0.000000,0.000000,0.000000,0.000000,0.000000,9.29,11072000.000
6,5,44,6,02,04,4,2,35,0.000000,04,E,A,4,0.000,0,0.00,24.68,7.470000,0.000000,0.000000,0.000000,0.000000,0.000000,11.40,7157200.000
7,5,8,8,02,04,3,1,35,10.000000,02,E,A,4,1100000.000,1,7.99,77.90,19.360000,1.740000,2.470000,2.420000,0.000000,0.000000,44.56,14801000.000
8,0,25,6,02,04,6,2,35,8.000000,01,E,A,3,1100000.000,2,7.64,49.41,12.450000,1.360000,1.140000,2.320000,0.000000,0.000000,11.44,6176250.000
9,5,31,18,01,04,5,4,35,0.000000,01,E,A,3,0.000,0,0.00,32.03,8.640000,1.050000,0.000000,0.000000,0.000000,0.000000,8.27,8968400.000
10,5,23,6,02,04,5,4,35,10.000000,01,E,A,3,1200000.000,1,8.80,34.96,8.530000,1.010000,1.030000,2.660000,0.000000,0.000000,11.50,9439200.000
11,1,23,20,02,04,17,1,30,18.000000,04,E,D,3,0.000,0,0.00,75.12,17.310000,1.380000,4.040000,0.000000,0.000000,0.000000,8.58,6610560.000
12,6,34,20,02,04,12,5,34,20.000000,01,E,B,3,0.000,0,0.00,18.25,4.000000,0.420000,1.100000,0.000000,0.000000,0.000000,1.69,9855000.000
13,5,32,9,02,04,5,5,35,0.000000,01,E,A,3,0.000,0,0.00,29.46,8.510000,0.400000,0.000000,0.000000,0.000000,0.000000,6.83,5892000.000
14,6,35,3,02,04,5,3,34,6.000000,01,C,B,3,0.000,0,0.00,16.33,7.810000,1.090000,0.570000,0.000000,0.000000,0.000000,6.41,5388900.000
15,5,19,10,02,04,16,12,35,16.000000,01,E,A,4,1100000.000,1,9.41,44.48,10.420000,0.860000,2.170000,2.850000,0.000000,0.000000,8.24,11564800.000
16,5,17,7,02,04,4,1,10,3.000000,01,E,Z,3,0.000,0,0.00,69.69,18.700000,1.720000,0.660000,0.000000,0.000000,0.000000,66.35,12195750.000
17,6,39,8,02,04,5,5,35,0.000000,70,E,A,3,0.000,0,0.00,25.56,6.620000,1.110000,0.000000,0.000000,0.000000,0.000000,7.08,8946000.000
18,3,22,30,06,04,7,5,35,17.000000,01,E,A,3,450000.000,1,4.00,43.78,9.510000,1.450000,2.280000,1.210000,0.000000,0.000000,3.03,5472500.000
19,5,45,11,02,04,4,4,35,0.000000,01,E,A,4,0.000,0,0.00,21.18,6.410000,0.000000,0.000000,0.000000,0.000000,0.000000,6.28,7201200.000
20,5,22,6,06,04,5,4,35,5.000000,04,E,A,3,0.000,0,0.00,32.21,8.130000,1.140000,0.470000,0.000000,0.000000,0.000000,10.94,5636750.000
21,0,11,16,02,04,25,23,35,31.000000,09,E,A,4,3000000.000,2,11.36,80.82,15.070000,1.820000,7.550000,0.000000,3.440000,0.000000,9.15,14951700.000
22,3,23,14,02,04,15,8,35,25.000000,01,E,A,4,1000000.000,1,8.02,50.41,10.440000,1.020000,3.790000,2.430000,0.000000,0.000000,6.06,7964780.000
23,5,9,28,02,04,15,9,35,24.000000,01,E,A,4,2200000.000,1,12.32,39.55,8.110000,0.990000,2.870000,3.730000,0.000000,0.000000,4.08,20961500.000
24,0,20,24,02,04,12,5,35,12.000000,01,E,A,3,600000.000,1,60.00,35.76,8.010000,1.490000,1.320000,2.020000,0.000000,0.000000,5.30,6079200.000
25,5,21,8,02,04,4,1,35,28.000000,01,E,A,3,0.000,1,0.00,65.64,12.730000,1.620000,5.500000,0.000000,0.000000,0.000000,26.52,11158800.000
26,5,21,15,02,04,24,12,35,8.000000,09,C,A,3,0.000,0,0.00,34.19,9.010000,1.200000,0.860000,0.000000,0.000000,0.000000,2.21,5470400.000
27,6,30,11,02,04,12,8,35,23.000000,01,E,A,4,0.000,0,0.00,32.54,6.840000,0.780000,2.220000,0.000000,0.000000,0.000000,6.94,14317600.000
28,5,23,32,02,04,18,14,35,24.000000,01,E,A,4,1600000.000,1,11.00,33.35,6.690000,1.020000,2.370000,3.330000,0.000000,0.000000,3.20,10338500.000
29,6,34,20,02,04,5,3,34,0.000000,04,E,B,4,0.000,0,0.00,23.38,6.650000,0.420000,0.000000,0.000000,0.000000,0.000000,5.83,11690000.000
30,5,37,5,02,08,2,1,35,0.000000,09,C,A,4,0.000,0,0.00,27.95,8.460000,0.000000,0.000000,0.000000,0.000000,0.000000,16.21,7546500.000
31,3,15,30,01,10,3,1,29,0.000000,01,G,E,4,0.000,0,0.00,177.56,53.710000,0.000000,0.000000,0.000000,0.000000,0.000000,82.56,7812640.000
32,3,23,8,02,04,12,7,10,33.000000,01,E,A,3,0.000,0,0.00,45.68,8.580000,1.690000,4.950000,0.000000,0.000000,0.000000,7.08,5024800.000
33,4,19,10,02,04,14,9,35,19.000000,01,E,A,3,0.000,0,0.00,39.96,8.710000,1.130000,2.260000,0.000000,0.000000,0.000000,4.47,8391600.000
34,6,48,6,02,04,5,1,35,0.000000,04,H,A,4,0.000,0,0.00,10.32,3.000000,0.120000,0.000000,0.000000,0.000000,0.000000,4.38,5366400.000
